location,piece,D,H,W,photo
outdoor,barbecue,?,?,?,barbecue
outdoor,chalkboard easel,?,?,?,chalkboard_easel
outdoor,gas station,?,?,?,gas_station
outdoor,ladders,?,?,?,ladders
outdoor,misc outdoor toys,?,?,?,misc_outdoor_toys
outdoor,outdoor bin table,?,?,?,outdoor_bin_table
outdoor,outdoor bins and toys,?,?,?,outdoor_bins_and_toys
outdoor,outdoor hoops,?,?,?,outdoor_hoops
outdoor,outdoor play kitchen,?,?,?,outdoor_play_kitchen
outdoor,outdoor stool,?,?,?,outdoor_stool
outdoor,outdoor table,?,?,?,outdoor_table
outdoor,slide,?,?,?,slide
outdoor,stairs outside,?,?,?,stairs_outside
outdoor,tarp over sandbox,?,?,?,tarp_over_sandbox
shed,shed adult wheelbarrows,?,?,?,shed_adult_wheelbarrows
shed,shed bins 2,?,?,?,shed_bins_2
shed,shed bins 3,?,?,?,shed_bins_3
shed,shed bins 4,?,?,?,shed_bins_4
shed,shed bins 5,?,?,?,shed_bins_5
shed,shed bins 6,?,?,?,shed_bins_6
shed,shed bins and slides,?,?,?,shed_bins_and_slides
shed,shed bins,?,?,?,shed_bins
shed,shed brooms,?,?,?,shed_brooms
shed,shed pushbarrow,?,?,?,shed_pushbarrow
shed,shed supplies,?,?,?,shed_supplies
shed,shed suppliles and paint,?,?,?,shed_suppliles_and_paint
shed,shed trikes,?,?,?,shed_trikes
sibling care,changing table,19,40,37,sibling_care_changing_table
sibling care,pak n play 1,28,30.5,39,sibling_care_bouncy_1
sibling care,pak n play 2,28,30.5,39,sibling_care_bouncy_2
sibling care,pak n play,29,33,39,sibling_care_bouncy_3
sibling care,pak n play,29,33,39,sibling_care_bouncy_4
sibling care,play table (legless),30,8.25,39,sibling_care_platform_with_mini_fridge
sibling care,sibling care bins,?,?,?,sibling_care_bins
sibling care,sibling care crib 1,?,?,?,sibling_care_crib_1
sibling care,sibling care crib 2,?,?,?,sibling_care_crib_2
sibling care,sibling care crib 3,?,?,?,sibling_care_crib_3
sibling care,sibling care gate,?,?,?,sibling_care_gate
sibling care,sibling care glider chair etc,?,?,?,sibling_care_glider_chair_etc
sibling care,sibling care high chairs,?,?,?,sibling_care_high_chairs
sibling care,sibling care rocking chair etc,?,?,?,sibling_care_rocking_chair_etc
sibling care,sibling care toy,?,?,?,sibling_care_toy
sibling care,sibling care wall shelf,?,?,?,sibling_care_wall_shelf
sibling care,small shelf by door,11.5,29.5,28,sibling_care_book_case
sibling care,white cube shelf 1(6 cubes),11.5,24,36,sibling_care_cubbies
sibling care,white cube shelf 2(6 cubes),11.5,24,36,sibling_care_cubbies
